run,speaker,item,samp,samp_norm,token,syllable,vowel,item,delta,f1,f2,f3,deltaz,f1z,f2z,f3z
1,F03,1,1,0,cal.b,coda,ae,1,-1.218967547,620,1881,3238,-0.210202996,0.354895515,0.688453893,1.210471317
1,F03,1,2,0.012658228,cal.b,coda,ae,1,-1.239204809,682,1412,2879,-0.216205147,0.634916013,-0.284697756,-0.146834001
1,F03,1,3,0.025316456,cal.b,coda,ae,1,-1.256321297,708,1417,2857,-0.221281711,0.752343963,-0.274323005,-0.230011486
1,F03,1,4,0.037974684,cal.b,coda,ae,1,-1.255786949,703,1208,2875,-0.221123229,0.729761665,-0.707987599,-0.16195718
1,F03,1,5,0.050632911,cal.b,coda,ae,1,-1.249508872,682,1272,2866,-0.21926122,0.634916013,-0.575190786,-0.195984333
1,F03,1,6,0.063291139,cal.b,coda,ae,1,-1.261981063,665,1243,2948,-0.222960336,0.558136199,-0.635364342,0.114040837
1,F03,1,7,0.075949367,cal.b,coda,ae,1,-1.287520317,672,1311,3089,-0.230535,0.589751416,-0.494267728,0.647132898
1,F03,1,8,0.088607595,cal.b,coda,ae,1,-1.305574246,637,1187,3079,-0.235889598,0.431675329,-0.751561554,0.60932495
1,F03,1,9,0.101265823,cal.b,coda,ae,1,-1.298556993,625,1183,3009,-0.233808358,0.377477813,-0.759861355,0.344669317
1,F03,1,10,0.113924051,cal.b,coda,ae,1,-1.260845927,621,1246,3117,-0.222623667,0.359411975,-0.629139491,0.752995151
1,F03,1,11,0.126582278,cal.b,coda,ae,1,-1.238312657,620,1384,2975,-0.215940545,0.354895515,-0.342796362,0.216122295
1,F03,1,12,0.139240506,cal.b,coda,ae,1,-1.232855942,607,1256,3068,-0.214322142,0.29618154,-0.608389989,0.567736208
1,F03,1,13,0.151898734,cal.b,coda,ae,1,-1.234300684,580,1667,3083,-0.214750637,0.174237129,0.244414548,0.624448129
1,F03,1,14,0.164556962,cal.b,coda,ae,1,-1.226365924,585,1844,3031,-0.212397274,0.196819428,0.611680735,0.427846802
1,F03,1,15,0.17721519,cal.b,coda,ae,1,-1.2104402,598,1884,3143,-0.207673878,0.255533403,0.694678743,0.851295815
1,F03,1,16,0.189873418,cal.b,coda,ae,1,-1.19973611,606,1799,3129,-0.204499161,0.29166508,0.518307975,0.798364688
1,F03,1,17,0.202531646,cal.b,coda,ae,1,-1.189673015,600,2043,3082,-0.201514557,0.264566322,1.024595827,0.620667335
1,F03,1,18,0.215189873,cal.b,coda,ae,1,-1.200289655,661,2357,3082,-0.204663337,0.54007036,1.676130193,0.620667335
1,F03,1,19,0.227848101,cal.b,coda,ae,1,-1.214109846,1317,3012,3082,-0.208762255,3.502867885,3.035222581,0.620667335
1,F03,1,20,0.240506329,cal.b,coda,ae,1,-1.191810103,754,1502,3167,-0.202148394,0.960101107,-0.097952237,0.942034889
1,F03,1,21,0.253164557,cal.b,coda,ae,1,-1.154960254,778,1837,3214,-0.191219131,1.068496138,0.597156083,1.119732243
1,F03,1,22,0.265822785,cal.b,coda,ae,1,-1.150484932,532,1967,3327,-0.189891799,-0.042552933,0.866899611,1.54696205
1,F03,1,23,0.278481013,cal.b,coda,ae,1,-1.189475824,553,1735,3115,-0.201456072,0.052292719,0.385511162,0.745433562
1,F03,1,24,0.291139241,cal.b,coda,ae,1,-1.296530597,605,1678,3515,-0.233207351,0.28714862,0.267239,2.257751465
1,F03,1,25,0.303797468,cal.b,coda,ae,1,-1.44510591,609,1665,3004,-0.277273169,0.305214459,0.240264647,0.325765343
1,F03,1,26,0.316455696,cal.b,coda,ae,1,-1.606866206,627,1717,3138,-0.325249508,0.386510733,0.348162058,0.832391841
1,F03,1,27,0.329113924,cal.b,coda,ae,1,-1.729173849,630,1733,3018,-0.361524622,0.400060111,0.381361261,0.37869647
1,F03,1,28,0.341772152,cal.b,coda,ae,1,-1.8417931,628,1791,3143,-0.394926264,0.391027192,0.501708374,0.851295815
1,F03,1,29,0.35443038,cal.b,coda,ae,1,-1.968214859,632,1929,3108,-0.432421579,0.409093031,0.788051503,0.718967998
1,F03,2,1,0,til.b,coda,ih,2,-3.893062274,467,1827,2915,-1.003310333,-0.33612281,0.576406581,-0.01072539
1,F03,2,2,0.012658228,til.b,coda,ih,2,-3.753488853,490,1584,3104,-0.961914379,-0.232244238,0.07219368,0.703844819
1,F03,2,3,0.025316456,til.b,coda,ih,2,-3.566822304,545,1635,3104,-0.906551116,0.016161042,0.178016141,0.703844819
1,F03,2,4,0.037974684,til.b,coda,ih,2,-3.386846896,566,1586,3104,-0.853172372,0.111006694,0.07634358,0.703844819
1,F03,2,5,0.050632911,til.b,coda,ih,2,-3.273234463,578,1417,3141,-0.819476163,0.16520421,-0.274323005,0.843734225
1,F03,2,6,0.063291139,til.b,coda,ih,2,-3.223950889,585,1442,3141,-0.804859193,0.196819428,-0.22244925,0.843734225
1,F03,2,7,0.075949367,til.b,coda,ih,2,-3.230164572,557,1237,3223,-0.806702103,0.070358558,-0.647814043,1.153759396
1,F03,2,8,0.088607595,til.b,coda,ih,2,-3.248514156,547,1204,3078,-0.81214439,0.025193961,-0.7162874,0.605544156
1,F03,2,9,0.101265823,til.b,coda,ih,2,-3.201017227,544,1102,3037,-0.798057319,0.011644582,-0.927932322,0.45053157
1,F03,2,10,0.113924051,til.b,coda,ih,2,-3.067131722,544,1007,3035,-0.758348338,0.011644582,-1.125052592,0.442969981
1,F03,2,11,0.126582278,til.b,coda,ih,2,-2.878651778,531,997,2862,-0.702447242,-0.047069393,-1.145802094,-0.211107512
1,F03,2,12,0.139240506,til.b,coda,ih,2,-2.686488985,540,995,3128,-0.645453852,-0.006421256,-1.149951994,0.794583894
1,F03,2,13,0.151898734,til.b,coda,ih,2,-2.557805595,535,1004,3057,-0.607287762,-0.029003554,-1.131277442,0.526147466
1,F03,2,14,0.164556962,til.b,coda,ih,2,-2.474821645,524,938,3077,-0.582675627,-0.078684611,-1.268224156,0.601763361
1,F03,2,15,0.17721519,til.b,coda,ih,2,-2.450399107,489,1138,3036,-0.575432169,-0.236760698,-0.853234114,0.446750776
1,F03,2,16,0.189873418,til.b,coda,ih,2,-2.424434472,494,1211,2935,-0.567731341,-0.2141784,-0.701762749,0.064890505
1,F03,2,17,0.202531646,til.b,coda,ih,2,-2.40047692,484,1847,3006,-0.560625793,-0.259342996,0.617905586,0.333326933
1,F03,2,18,0.215189873,til.b,coda,ih,2,-2.359584064,368,1935,2965,-0.548497417,-0.783252315,0.800501204,0.178314348
1,F03,2,19,0.227848101,til.b,coda,ih,2,-2.295172967,279,1830,2981,-0.529393788,-1.185217223,0.582631432,0.238807064
1,F03,2,20,0.240506329,til.b,coda,ih,2,-2.268642599,306,2198,3068,-0.521525171,-1.063272812,1.34621311,0.567736208
1,F03,2,21,0.253164557,til.b,coda,ih,2,-2.269090771,213,1832,2952,-0.521658094,-1.483303559,0.586781332,0.129164016
1,F03,2,22,0.265822785,til.b,coda,ih,2,-2.287786044,373,1681,3160,-0.527202908,-0.760670016,0.27346385,0.915569326
1,F03,2,23,0.278481013,til.b,coda,ih,2,-2.382524654,582,1712,2916,-0.555301346,0.183270049,0.337787307,-0.006944595
1,F03,2,24,0.291139241,til.b,coda,ih,2,-2.563905191,1407,3020,2916,-0.609096836,3.909349253,3.051822183,-0.006944595
1,F03,2,25,0.303797468,til.b,coda,ih,2,-2.796406322,531,1716,2935,-0.678054136,-0.047069393,0.346087108,0.064890505
1,F03,2,26,0.316455696,til.b,coda,ih,2,-2.989566062,584,1753,2935,-0.735343209,0.192302968,0.422860266,0.064890505
1,F03,2,27,0.329113924,til.b,coda,ih,2,-3.142368066,601,1808,3037,-0.780662617,0.269082782,0.536982527,0.45053157
1,F03,2,28,0.341772152,til.b,coda,ih,2,-3.221800173,608,1893,3180,-0.804221314,0.300697999,0.713353295,0.991185221
1,F03,2,29,0.35443038,til.b,coda,ih,2,-3.267312931,606,1968,3556,-0.817719902,0.29166508,0.868974561,2.41276405
1,F03,3,1,0,kil.b,coda,ih,3,-2.190806124,490,2522,2793,-0.498439721,-0.232244238,2.018496978,-0.471982351
1,F03,3,2,0.012658228,kil.b,coda,ih,3,-2.023444909,493,2677,2793,-0.448802209,-0.218694859,2.340114261,-0.471982351
1,F03,3,3,0.025316456,kil.b,coda,ih,3,-1.885075601,475,2070,2650,-0.407763381,-0.299991133,1.080619483,-1.012636001
1,F03,3,4,0.037974684,kil.b,coda,ih,3,-1.773292412,477,1816,3143,-0.374609706,-0.290958214,0.553582129,0.851295815
1,F03,3,5,0.050632911,kil.b,coda,ih,3,-1.707582897,498,1725,2863,-0.355120981,-0.196112561,0.36476166,-0.207326718
1,F03,3,6,0.063291139,kil.b,coda,ih,3,-1.683230716,541,1641,3067,-0.347898389,-0.001904797,0.190465842,0.563955413
1,F03,3,7,0.075949367,kil.b,coda,ih,3,-1.666305746,507,1493,2945,-0.342878628,-0.155464424,-0.116626789,0.102698453
1,F03,3,8,0.088607595,kil.b,coda,ih,3,-1.637094147,490,1338,2958,-0.334214786,-0.232244238,-0.438244072,0.151848785
1,F03,3,9,0.101265823,kil.b,coda,ih,3,-1.584528427,499,1312,3138,-0.318624367,-0.191596102,-0.492192777,0.832391841
1,F03,3,10,0.113924051,kil.b,coda,ih,3,-1.520588312,492,1230,3029,-0.299660426,-0.223211319,-0.662338695,0.420285212
1,F03,3,11,0.126582278,kil.b,coda,ih,3,-1.451501532,487,1190,3041,-0.27917004,-0.245793617,-0.745336703,0.465654749
1,F03,3,12,0.139240506,kil.b,coda,ih,3,-1.351504298,467,1537,3140,-0.249511951,-0.33612281,-0.02532898,0.839953431
1,F03,3,13,0.151898734,kil.b,coda,ih,3,-1.228861948,461,1825,3270,-0.213137567,-0.363221568,0.572256681,1.331456749
1,F03,3,14,0.164556962,kil.b,coda,ih,3,-1.143854335,447,1901,3270,-0.187925236,-0.426452003,0.729952897,1.331456749
1,F03,3,15,0.17721519,kil.b,coda,ih,3,-1.086770157,442,1489,3005,-0.170994691,-0.449034301,-0.12492659,0.329546138
1,F03,3,16,0.189873418,kil.b,coda,ih,3,-1.028553273,442,2616,3263,-0.153728198,-0.449034301,2.213542298,1.304991186
1,F03,3,17,0.202531646,kil.b,coda,ih,3,-0.963596629,431,2383,2840,-0.134462766,-0.498715357,1.730078899,-0.294284997
1,F03,3,18,0.215189873,kil.b,coda,ih,3,-0.889386564,463,1825,3077,-0.11245287,-0.354188649,0.572256681,0.601763361
1,F03,3,19,0.227848101,kil.b,coda,ih,3,-0.824453162,430,1914,3130,-0.093194331,-0.503231817,0.75692725,0.802145483
1,F03,3,20,0.240506329,kil.b,coda,ih,3,-0.807229443,390,1710,2919,-0.088085964,-0.683890202,0.333637407,0.004397789
1,F03,3,21,0.253164557,kil.b,coda,ih,3,-0.887493463,376,1748,3332,-0.111891397,-0.747120637,0.412485515,1.565866024
1,F03,3,22,0.265822785,kil.b,coda,ih,3,-1.054040389,1695,3198,3332,-0.161287399,5.21008963,3.421163321,1.565866024
1,F03,3,23,0.278481013,kil.b,coda,ih,3,-1.234481966,1341,2576,3332,-0.214804403,3.611262916,2.130544289,1.565866024
1,F03,3,24,0.291139241,kil.b,coda,ih,3,-1.426688551,1871,2999,3332,-0.271810781,6.004986526,3.008248229,1.565866024
1,F03,3,25,0.303797468,kil.b,coda,ih,3,-1.593116264,531,1748,3013,-0.321171426,-0.047069393,0.412485515,0.359792496
1,F03,3,26,0.316455696,kil.b,coda,ih,3,-1.711075713,1253,3000,3013,-0.356156912,3.213814468,3.010323179,0.359792496
1,F03,3,27,0.329113924,kil.b,coda,ih,3,-1.810140054,662,1794,3221,-0.385538315,0.54458682,0.507933224,1.146197806
1,F03,3,28,0.341772152,kil.b,coda,ih,3,-1.899472471,521,1881,2982,-0.412033336,-0.092233989,0.688453893,0.242587859
1,F03,3,29,0.35443038,kil.b,coda,ih,3,-1.990400425,589,2318,2982,-0.439001576,0.214885266,1.595207135,0.242587859
1,F03,4,1,0,al.b,coda,ae,4,-2.667601764,769,1854,3187,-0.639852109,1.027848002,0.632430237,1.017650784
1,F03,4,2,0.012658228,al.b,coda,ae,4,-2.947897326,792,1846,3198,-0.722984716,1.131726573,0.615830635,1.059239527
1,F03,4,3,0.025316456,al.b,coda,ae,4,-3.230672119,799,1821,2972,-0.806852636,1.163341791,0.56395688,0.204779911
1,F03,4,4,0.037974684,al.b,coda,ae,4,-3.448523148,832,1795,2972,-0.871464876,1.312384959,0.510008175,0.204779911
1,F03,4,5,0.050632911,al.b,coda,ae,4,-3.592561994,818,1787,2972,-0.914185227,1.249154524,0.493408573,0.204779911
1,F03,4,6,0.063291139,al.b,coda,ae,4,-3.633728249,762,1569,2753,-0.926394689,0.996232784,0.041069427,-0.623214141
1,F03,4,7,0.075949367,al.b,coda,ae,4,-3.595049216,739,1661,3203,-0.91492291,0.892354212,0.231964846,1.0781435
1,F03,4,8,0.088607595,al.b,coda,ae,4,-3.547913857,766,1425,2844,-0.900943076,1.014298623,-0.257723404,-0.279161818
1,F03,4,9,0.101265823,al.b,coda,ae,4,-3.52039805,749,1509,2938,-0.892782188,0.937518809,-0.083427586,0.076232889
1,F03,4,10,0.113924051,al.b,coda,ae,4,-3.540587147,715,1329,2878,-0.898770054,0.783959181,-0.456918624,-0.150614796
1,F03,4,11,0.126582278,al.b,coda,ae,4,-3.617667939,733,1242,2785,-0.921631377,0.865255455,-0.637439292,-0.502228709
1,F03,4,12,0.139240506,al.b,coda,ae,4,-3.677016824,743,1377,3026,-0.939233609,0.910420051,-0.357321014,0.408942828
1,F03,4,13,0.151898734,al.b,coda,ae,4,-3.647092994,756,1212,2957,-0.930358527,0.969134026,-0.699687798,0.14806799
1,F03,4,14,0.164556962,al.b,coda,ae,4,-3.49525682,738,1195,3354,-0.885325573,0.887837753,-0.734961952,1.649043509
1,F03,4,15,0.17721519,al.b,coda,ae,4,-3.220271561,709,1249,3242,-0.803767944,0.756860423,-0.622914641,1.225594496
1,F03,4,16,0.189873418,al.b,coda,ae,4,-2.855446002,676,1163,3041,-0.695564661,0.607817255,-0.801360359,0.465654749
1,F03,4,17,0.202531646,al.b,coda,ae,4,-2.441655108,662,1113,3266,-0.572838794,0.54458682,-0.905107869,1.31633357
1,F03,4,18,0.215189873,al.b,coda,ae,4,-2.059392504,638,1023,3137,-0.459463874,0.436191789,-1.091853388,0.828611046
1,F03,4,19,0.227848101,al.b,coda,ae,4,-1.707362223,592,1325,3087,-0.355055531,0.228434645,-0.465218425,0.639571308
1,F03,4,20,0.240506329,al.b,coda,ae,4,-1.438970031,575,1148,3033,-0.275453334,0.151654831,-0.832484612,0.435408391
1,F03,4,21,0.253164557,al.b,coda,ae,4,-1.293173283,568,1043,3112,-0.232211608,0.120039614,-1.050354384,0.734091177
1,F03,4,22,0.265822785,al.b,coda,ae,4,-1.253082887,569,1055,3078,-0.220321234,0.124556073,-1.025454982,0.605544156
1,F03,4,23,0.278481013,al.b,coda,ae,4,-1.275187339,772,3056,3078,-0.226877173,1.041397381,3.126520391,0.605544156
1,F03,4,24,0.291139241,al.b,coda,ae,4,-1.288195916,928,3074,3078,-0.230735375,1.745965085,3.163869494,0.605544156
1,F03,4,25,0.303797468,al.b,coda,ae,4,-1.334429018,834,2950,3078,-0.244447609,1.321417878,2.906575668,0.605544156
1,F03,4,26,0.316455696,al.b,coda,ae,4,-1.452878841,948,2641,3078,-0.279578535,1.836294277,2.265416053,0.605544156
1,F03,4,27,0.329113924,al.b,coda,ae,4,-1.648960872,920,2999,3078,-0.337734327,1.709833407,3.008248229,0.605544156
1,F03,4,28,0.341772152,al.b,coda,ae,4,-1.901686311,541,2006,3139,-0.412689937,-0.001904797,0.947822669,0.836172636
1,F03,4,29,0.35443038,al.b,coda,ae,4,-2.149333368,516,2084,3132,-0.486139354,-0.114816288,1.109668786,0.809707073
1,F03,5,1,0,kib.l,onset,ih,5,-3.781899812,423,2611,3115,-0.970340759,-0.534847034,2.203167547,0.745433562
1,F03,5,2,0.012658228,kib.l,onset,ih,5,-3.571287061,437,2470,3115,-0.907875314,-0.471616599,1.910599567,0.745433562
1,F03,5,3,0.025316456,kib.l,onset,ih,5,-3.309865373,422,2322,3209,-0.830340492,-0.539363494,1.603506936,1.100828269
1,F03,5,4,0.037974684,kib.l,onset,ih,5,-2.952681677,396,2055,2924,-0.724403702,-0.656791445,1.049495229,0.023301763
1,F03,5,5,0.050632911,kib.l,onset,ih,5,-2.469162285,399,2065,3422,-0.580997123,-0.643242066,1.070244732,1.906137553
1,F03,5,6,0.063291139,kib.l,onset,ih,5,-1.855628605,390,1921,3043,-0.399029723,-0.683890202,0.771451901,0.473216339
1,F03,5,7,0.075949367,kib.l,onset,ih,5,-1.156579005,435,2040,3089,-0.191699235,-0.480649519,1.018370976,0.647132898
1,F03,5,8,0.088607595,kib.l,onset,ih,5,-0.448512122,494,1813,2972,0.018305682,-0.2141784,0.547357278,0.204779911
1,F03,5,9,0.101265823,kib.l,onset,ih,5,0.247570065,382,1645,3221,0.224756069,-0.72002188,0.198765643,1.146197806
1,F03,5,10,0.113924051,kib.l,onset,ih,5,0.847240153,525,1748,2998,0.402611678,-0.074168151,0.412485515,0.303080575
1,F03,5,11,0.126582278,kib.l,onset,ih,5,1.35218678,465,2202,3141,0.552373342,-0.345155729,1.35451291,0.843734225
1,F03,5,12,0.139240506,kib.l,onset,ih,5,1.706038566,473,2252,3043,0.657321923,-0.309024052,1.458260421,0.473216339
1,F03,5,13,0.151898734,kib.l,onset,ih,5,1.883763348,681,1602,3081,0.710033155,0.630399553,0.109542784,0.61688654
1,F03,5,14,0.164556962,kib.l,onset,ih,5,1.922779918,1296,2947,3081,0.721605044,3.408022233,2.900350818,0.61688654
1,F03,5,15,0.17721519,kib.l,onset,ih,5,1.809712565,889,1548,3182,0.6880705,1.569823159,-0.002504528,0.99874681
1,F03,5,16,0.189873418,kib.l,onset,ih,5,1.606981656,1261,2979,3182,0.627942723,3.249946145,2.966749224,0.99874681
1,F03,5,17,0.202531646,kib.l,onset,ih,5,1.336388836,463,1787,3185,0.547687844,-0.354188649,0.493408573,1.010089195
1,F03,5,18,0.215189873,kib.l,onset,ih,5,0.968936864,498,1543,2934,0.438705595,-0.196112561,-0.012879279,0.06110971
1,F03,5,19,0.227848101,kib.l,onset,ih,5,0.541907479,521,1199,3109,0.312053336,-0.092233989,-0.726662151,0.722748793
1,F03,5,20,0.240506329,kib.l,onset,ih,5,0.081269158,554,1293,2941,0.175433033,0.056809179,-0.531616831,0.087575274
1,F03,5,21,0.253164557,kib.l,onset,ih,5,-0.333393904,619,3207,2941,0.05244849,0.350379055,3.439837872,0.087575274
1,F03,5,22,0.265822785,kib.l,onset,ih,5,-0.665840213,612,864,3052,-0.04615146,0.318763838,-1.421770472,0.507243492
1,F03,5,23,0.278481013,kib.l,onset,ih,5,-0.916573522,609,1200,3169,-0.120516225,0.305214459,-0.724587201,0.949596479
1,F03,5,24,0.291139241,kib.l,onset,ih,5,-1.111032183,618,1376,3046,-0.178190544,0.345862596,-0.359395964,0.484558723
1,F03,5,25,0.303797468,kib.l,onset,ih,5,-1.248220939,619,1447,3175,-0.218879233,0.350379055,-0.212074499,0.972281247
1,F03,5,26,0.316455696,kib.l,onset,ih,5,-1.360799676,619,1584,3172,-0.252268859,0.350379055,0.07219368,0.960938863
1,F03,5,27,0.329113924,kib.l,onset,ih,5,-1.415973354,615,1708,3172,-0.26863277,0.332313217,0.329487506,0.960938863
1,F03,5,28,0.341772152,kib.l,onset,ih,5,-1.370327762,607,1747,3172,-0.255094785,0.29618154,0.410410564,0.960938863
1,F03,5,29,0.35443038,kib.l,onset,ih,5,-1.157889768,606,1792,3040,-0.192087993,0.29166508,0.503783324,0.461873955
1,F03,6,1,0,tal.b,coda,ae,6,-2.529384001,649,1899,2969,-0.598858227,0.485872845,0.725802996,0.193437527
1,F03,6,2,0.012658228,tal.b,coda,ae,6,-2.478898964,700,1767,2981,-0.583884916,0.716212286,0.451909569,0.238807064
1,F03,6,3,0.025316456,tal.b,coda,ae,6,-2.435817924,731,1670,2628,-0.571107549,0.856222535,0.250639398,-1.095813486
1,F03,6,4,0.037974684,tal.b,coda,ae,6,-2.393171095,738,1597,2724,-0.558458965,0.887837753,0.099168033,-0.732857189
1,F03,6,5,0.050632911,tal.b,coda,ae,6,-2.343410178,726,1616,2753,-0.543700419,0.833640237,0.138592087,-0.623214141
1,F03,6,6,0.063291139,tal.b,coda,ae,6,-2.23024089,710,1486,2864,-0.510135642,0.761376883,-0.131151441,-0.203545923
